track_name,track_id,album_art,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Ghetto in Paradise,6MtX9yBR4b0AwdNKBawutU,https://i.scdn.co/image/ab67616d00001e024cc8b342bdd89d2f9050b64c,0.692,0.621,7,-7.61,0,0.024,0.324,0.916,0.129,0.674,87.982,218067
La fête noire,31LahFauxHfQzlP6UazsIq,https://i.scdn.co/image/ab67616d00001e02454487efbe3c8fd72cad3ce8,0.611,0.574,4,-9.331,1,0.0367,0.622,0.396,0.638,0.102,81.077,364333
Come to Me Now,5h1WO9jqXhQ9e1vs63ctxZ,https://i.scdn.co/image/ab67616d00001e02c88257b85d988d6069bebce9,0.334,0.488,7,-10.224,1,0.0342,0.499,0.274,0.122,0.084,111.711,291080
K.I.S.S.E.S,2ojgRKZJ1oRREcNQIYVnX4,https://i.scdn.co/image/ab67616d00001e027ceb20f8ed9f7e645f119849,0.625,0.8,1,-8.161,1,0.0458,0.00556,0.386,0.0751,0.467,107.258,315347
Of My Mind,5PRdzrncmga9ieUFVrlE41,https://i.scdn.co/image/ab67616d00001e02f757611b42d67ddd9221cfc0,0.717,0.486,4,-11.511,0,0.0473,0.284,0.536,0.348,0.423,121.05,252598
The Drifter,46Vcm3EXcBhWmdHKQ4eyQA,https://i.scdn.co/image/ab67616d00001e0290fa0fd3f7941617f02f354f,0.667,0.362,3,-12.187,0,0.0335,0.843,0.64,0.0972,0.479,120.023,274354
Teardrops,2sFysiLncRr14XfCZtcIGQ,https://i.scdn.co/image/ab67616d00001e02f89b00c4b90beaf670e5f9d6,0.871,0.72,11,-7.679,1,0.0413,0.171,0.0908,0.0686,0.832,92.006,198332
NEW DORP. NEW YORK,2YKcA5ZkWQfVHd7bMIv4iw,https://i.scdn.co/image/ab67616d00001e021fecb146ba8b138e29b069be,0.844,0.438,0,-10.564,1,0.264,0.00174,0.00118,0.144,0.548,119.008,180576
Kuj Yato,3WzZZ2EnRW236OYoTlRMkt,https://i.scdn.co/image/ab67616d00001e0294c8d74897fff2ceefa88de7,0.525,0.52,2,-12.363,1,0.0397,0.0139,0.571,0.286,0.163,159.885,213574
A New Dawn,69iDjb7CZvkYtjVxKEg3td,https://i.scdn.co/image/018e4f1d4ccbd79275707ad2d56e5c1af8ee8c9b,0.84,0.532,10,-10.569,0,0.0468,0.0136,0.188,0.128,0.525,110.998,220205
Paper Trails,6rqONVHOT73QecUdJ5HVHy,https://i.scdn.co/image/70f6c662ecd6238a988440df175716d9a46ec3e7,0.948,0.419,8,-13.043,0,0.058,0.779,0.916,0.121,0.363,113.235,289841
Never Be Another You,0WOgSnlW67lN5ZpXSvPmdi,https://i.scdn.co/image/ab67616d00001e02704db8d9c5828adbbad3d058,0.74,0.68,1,-8.318,1,0.0873,0.495,0.0249,0.132,0.653,78.945,265003
Time Is the Enemy,3iNj5fdyY62N1ycufQ3E2M,https://i.scdn.co/image/ab67616d00001e02a49c98e08316fe4b15824d60,0.408,0.848,1,-9.797,1,0.0328,0.00563,0.922,0.128,0.258,165.93,223013
Today is Your Day,4qPGtNwK7NNPBFjvkyrFcU,https://i.scdn.co/image/ab67616d00001e02690a00310914582ab7c5a7d9,0.69,0.301,6,-10.244,1,0.0318,0.201,0.0115,0.154,0.0875,92.151,239520
Bra,5HrxlXl6yE5PWxFkNyUOz7,https://i.scdn.co/image/ab67616d00001e02b8032a4dc556a4c4df8ab96e,0.677,0.769,7,-10.142,1,0.0535,0.00545,0.0252,0.131,0.891,117.731,306360
Confessions (feat. Leland Whitty),6Z6B2XIvMs0ZQ8dF8xfo4q,https://i.scdn.co/image/ab67616d00001e0239c226f4abd599c6aa07063a,0.364,0.663,11,-6.017,1,0.0446,0.266,0.839,0.109,0.289,162.411,300996
A Tune for Jack,1GYVFolrzA1ZWirojv1FNM,https://i.scdn.co/image/b8f99696d012b95e806b9b26d178cbb49f57ac35,0.572,0.745,5,-8.208,1,0.0521,0.0535,0.043,0.317,0.718,186.006,405867
Colibria,4mrkRBRhahbgcfimPihZVN,https://i.scdn.co/image/ab67616d00001e02bf6068dd58c8c5ad90235e51,0.842,0.409,4,-10.053,0,0.266,0.0515,0.41,0.0854,0.292,90.026,479999
Work,42YrWn7KYjhJ2GfjTJ3HSY,https://i.scdn.co/image/ab67616d00001e0231e03b8de9c07a1277bd0a72,0.666,0.296,1,-8.219,1,0.0286,0.533,0.25,0.0768,0.15,130.047,224714
Independent Dancer,26HJ6sMGNelzAEMvp7XNVw,https://i.scdn.co/image/ab67616d00001e02ad0886efb43e023b19d9b77b,0.828,0.487,5,-10.279,0,0.0485,0.0835,0.254,0.147,0.336,120.05,318457
Welcome State,7JJinw17P46NEPXimuRkvt,https://i.scdn.co/image/5e9c0528dd43b49916a1ab2426e6e406c4f87205,0.666,0.432,6,-8.788,1,0.0323,0.334,0.0289,0.11,0.297,95.985,270476
Go Back,1GcFxbll8l5Vv9y7nrRHJ0,https://i.scdn.co/image/ab67616d00001e02eb109dd9b3489c05d6877bfc,0.696,0.906,7,-6.476,0,0.079,0.0357,0.237,0.507,0.724,89.955,337493
Old Graffiti,5XcDorvZjj05UPeU4NY3nu,https://i.scdn.co/image/ab67616d00001e02af325092ab861ace2aae4924,0.639,0.914,10,-7.189,0,0.0394,0.277,0.802,0.0382,0.966,94.823,208853
